# Expected resolve warnings (the warning ratchet, see test_expected_warnings).
#
# Every "<rom> | <label> | <message>" line below is a warning the resolver is
# currently expected to emit for a testdata nvram, EXCLUDING the common
# "Value is stored outside the NVRAM" (those are tolerated wholesale: the value
# simply is not part of the dumped region).
#
# The test fails if the set of emitted warnings differs from this list. That
# makes any NEW unexpected warning a hard failure (so a new map/encoding bug
# cannot be silently codified as a golden .nv.json, the way it could before),
# and forces fixed warnings to be removed from this list deliberately.
#
# Most entries below are uninitialised / out-of-spec dump data (e.g. Volume 255
# where the valid range is 0-31, or an enum index from a factory-default byte).
# Known map bugs worth fixing upstream are called out with a NOTE comment.
#
# Lines starting with '#' and blank lines are ignored.

eballdlx | Backbox Deluxe Feature | Value out of range: 0 ≤ 15 ≤ 3
embryon | Replay Award | Failed to resolve: Index 15 out of bounds for enum with 4 values
embryon | Sound Option | Failed to resolve: Index 15 out of bounds for enum with 4 values
embryon | Special/Extra Ball Awards | Failed to resolve: Index 15 out of bounds for enum with 4 values
embryond | Replay Award | Failed to resolve: Index 15 out of bounds for enum with 4 values
embryond | Sound Option | Failed to resolve: Index 15 out of bounds for enum with 4 values
embryond | Special/Extra Ball Awards | Failed to resolve: Index 15 out of bounds for enum with 4 values
fball_ii | Replay Award | Failed to resolve: Index 15 out of bounds for enum with 4 values
fball_ii | Sound Option | Failed to resolve: Index 15 out of bounds for enum with 4 values
fball_ii | Special/Extra Ball Awards | Failed to resolve: Index 15 out of bounds for enum with 4 values
flashgdn | Replay Award | Failed to resolve: Index 15 out of bounds for enum with 4 values
flashgdn | Sound Option | Failed to resolve: Index 15 out of bounds for enum with 4 values
flashgdn | Special/Extra Ball Awards | Failed to resolve: Index 15 out of bounds for enum with 4 values
ratrc_l1 | Replay Award | Failed to resolve: Index 85 out of bounds for enum with 2 values
tsptr_l3 | Replay Start | Value out of range: 8 ≤ 25 ≤ 20
